sale_year,urban_rural_flag,property_type,new_build,total_transactions,total_sales_volume,average_price,min_price,max_price,avg_imd_score,avg_crime_score,avg_education_score
1995,Rural,Detached,f,46970,5060610878.00,107741.342942303598,100.00,1969999.00,13.4231088101808562,-0.77042773735945446667,11.9868066458366593
1995,Rural,Detached,t,8538,899545924.00,105357.920356055282,400.00,749000.00,11.4949643118148599,-0.77272009744214372716,11.4156017052375152
1995,Rural,Flats/Maisonettes,f,4057,188328540.00,46420.640867636184,3000.00,2226500.00,14.9179854331714797,-0.51751469460771786353,15.8071185790953233
1995,Rural,Flats/Maisonettes,t,927,51943196.00,56033.652642934196,4000.00,245000.00,13.2427672316384181,-0.57356045197740112994,14.4428870056497175
1995,Rural,Other,f,2,10750.00,5375.0000000000000000,750.00,10000.00,35.1090000000000000,0.61100000000000000000,36.3360000000000000
1995,Rural,Semi-Detached,f,32226,1920944487.00,59608.529975795941,100.00,500000.00,14.1239543863125908,-0.64981090632844497292,15.1729984806447351
1995,Rural,Semi-Detached,t,3327,199405486.00,59935.523294259092,7200.00,325000.00,13.5515154185022026,-0.71838451856513530522,15.1369915040906230
1995,Rural,Terraced,f,23483,1111788442.00,47344.395605331516,350.00,420000.00,16.4943277232786276,-0.48856441489609000883,17.1268345808731229
1995,Rural,Terraced,t,2093,119899727.00,57286.061634018156,120.00,275000.00,13.1948519801980198,-0.64057574257425742574,13.8170287128712871
1995,Urban,Detached,f,85962,9002841463.00,104730.479316442149,175.00,3500000.00,12.6738545881220290,-0.35218576328298934954,13.1373915999759312
1995,Urban,Detached,t,26017,2682289126.00,103097.556443863628,360.00,1500000.00,11.9159616422054740,-0.42437409758032526775,12.2106637048790163
1995,Urban,Flats/Maisonettes,f,82452,4802969602.00,58251.705258817251,100.00,5610000.00,19.6037622182057983,0.17040015387245683023,13.8858703075006717
1995,Urban,Flats/Maisonettes,t,13898,897418894.00,64571.801266369262,976.00,1350000.00,19.8607671570403652,0.16172490760200014494,14.0904225668526705
1995,Urban,Other,f,6,6169896.00,1028316.000000000000,396.00,5610000.00,17.3728000000000000,-0.51760000000000000000,19.1478000000000000
1995,Urban,Semi-Detached,f,168348,10265480748.00,60977.741036424549,100.00,3100000.00,18.4251376250858432,-0.02708319434906308251,19.5777146632492887
1995,Urban,Semi-Detached,t,14734,865429128.00,58736.875797475227,227.00,2633256.00,19.0781610681059584,-0.07642433065833392515,20.3276992401107876
1995,Urban,Terraced,f,193149,9897124276.00,51240.877643684409,1.00,3650000.00,25.6864225081107661,0.33602414790189046324,24.9624230105239528
